epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2877.29,0.59221,0.33074,0.85487,0.97071,1,0.995,0.84745,0.71559,0.29614,0.96374,0.000451066,0.000451066,0.000451066
92,2908.8,0.58204,0.32267,0.85754,0.97612,0.99793,0.995,0.84698,0.7234,0.31659,0.96777,0.000443733,0.000443733,0.000443733
93,2940.34,0.56802,0.32453,0.85079,0.97017,0.99799,0.995,0.85042,0.70937,0.30862,0.96716,0.000436401,0.000436401,0.000436401
94,2972.92,0.5646,0.31967,0.85918,0.96363,0.9847,0.98403,0.83648,0.70547,0.30229,0.96059,0.000429068,0.000429068,0.000429068
95,3004.38,0.57031,0.31685,0.84564,0.97822,0.99781,0.99425,0.84203,0.71348,0.29742,0.96306,0.000421736,0.000421736,0.000421736
96,3036.07,0.56978,0.3182,0.84845,0.98119,0.99567,0.99425,0.84774,0.72043,0.28905,0.96087,0.000414403,0.000414403,0.000414403
97,3067.51,0.55262,0.31443,0.85262,0.97026,0.99763,0.995,0.84066,0.72352,0.29689,0.97902,0.00040707,0.00040707,0.00040707
98,3098.99,0.56394,0.31941,0.84898,0.97088,0.99852,0.995,0.83292,0.73359,0.30556,0.97585,0.000399738,0.000399738,0.000399738
99,3130.39,0.57506,0.32329,0.84763,0.97088,0.99941,0.995,0.83703,0.69856,0.29543,0.95733,0.000392405,0.000392405,0.000392405
100,3161.87,0.55104,0.31152,0.85607,0.95835,0.97614,0.98385,0.8398,0.72899,0.30548,0.95662,0.000385073,0.000385073,0.000385073
101,3193.47,0.56177,0.3125,0.84835,0.96052,0.97612,0.98388,0.83794,0.7384,0.30353,0.96424,0.00037774,0.00037774,0.00037774
102,3224.77,0.54311,0.30155,0.84545,0.97477,0.97957,0.98439,0.83185,0.73067,0.30019,0.96173,0.000370407,0.000370407,0.000370407
103,3256.27,0.54204,0.30063,0.84102,0.96102,0.98385,0.98594,0.82856,0.75651,0.30323,0.97058,0.000363075,0.000363075,0.000363075
104,3287.82,0.55844,0.30887,0.84912,0.9665,0.98667,0.98627,0.83625,0.73821,0.29796,0.96748,0.000355742,0.000355742,0.000355742
105,3319.31,0.54587,0.31072,0.85052,0.98595,1,0.995,0.83236,0.72429,0.28795,0.97127,0.00034841,0.00034841,0.00034841
106,3350.76,0.54945,0.3104,0.84649,0.99236,0.99359,0.995,0.85113,0.71711,0.28523,0.9674,0.000341077,0.000341077,0.000341077
107,3383.18,0.5304,0.2986,0.84367,0.97922,0.99647,0.995,0.8486,0.70257,0.29004,0.96351,0.000333744,0.000333744,0.000333744
108,3414.5,0.5239,0.30581,0.84507,0.97361,0.99263,0.995,0.81883,0.74545,0.30876,0.98234,0.000326412,0.000326412,0.000326412
109,3446.13,0.52907,0.29879,0.84974,0.96156,0.97685,0.98373,0.83171,0.72918,0.30306,0.96424,0.000319079,0.000319079,0.000319079
