epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,371.24,0.86982,0.50263,0.85609,0.96047,0.93013,0.96838,0.7385,0.98023,0.62301,1.01485,0.00080853,0.00080853,0.00080853
57,375.245,0.85889,0.50849,0.84981,0.96163,0.952,0.971,0.75637,0.96467,0.5955,0.98844,0.000803031,0.000803031,0.000803031
58,379.276,0.84689,0.7176,0.94373,0.96163,0.952,0.971,0.75637,0.96467,0.5955,0.98844,0.000797531,0.000797531,0.000797531
59,386.471,0.88589,0.73463,0.85729,0.96163,0.952,0.971,0.75637,0.96467,0.5955,0.98844,0.000792032,0.000792032,0.000792032
60,390.489,0.84064,0.57111,0.91443,0.98893,0.94332,0.9684,0.7608,0.93902,0.57563,0.96416,0.000786532,0.000786532,0.000786532
61,395.725,1.01065,0.54912,0.89654,0.98893,0.94332,0.9684,0.7608,0.93902,0.57563,0.96416,0.000781033,0.000781033,0.000781033
62,399.665,0.81654,0.56112,0.93852,0.98893,0.94332,0.9684,0.7608,0.93902,0.57563,0.96416,0.000775534,0.000775534,0.000775534
63,403.643,0.79417,0.47099,0.85019,0.97083,0.96813,0.96809,0.75448,0.9574,0.54239,0.98988,0.000770034,0.000770034,0.000770034
64,407.444,0.84778,0.47438,0.8659,0.97083,0.96813,0.96809,0.75448,0.9574,0.54239,0.98988,0.000764535,0.000764535,0.000764535
65,411.456,0.85144,0.49603,0.85443,0.96623,0.96007,0.96842,0.75614,0.99636,0.5763,1.00719,0.000759035,0.000759035,0.000759035
66,415.385,0.79899,0.52939,0.84383,0.96623,0.96007,0.96842,0.75614,0.99636,0.5763,1.00719,0.000753536,0.000753536,0.000753536
67,419.812,0.86531,0.50147,0.85803,0.96623,0.96007,0.96842,0.75614,0.99636,0.5763,1.00719,0.000748036,0.000748036,0.000748036
68,423.967,1.68549,3.25239,2.13483,0.94989,0.96944,0.96297,0.74224,1.03463,0.57105,1.0115,0.000742537,0.000742537,0.000742537
69,431.764,1.05117,0.79154,1.02714,0.94989,0.96944,0.96297,0.74224,1.03463,0.57105,1.0115,0.000737037,0.000737037,0.000737037
70,437.818,0.96697,0.5421,0.92732,0.94989,0.96944,0.96297,0.74224,1.03463,0.57105,1.0115,0.000731538,0.000731538,0.000731538
71,444.552,0.93587,0.47099,0.8619,0.97128,0.95782,0.96842,0.74169,1.03473,0.55349,1.01143,0.000726038,0.000726038,0.000726038
72,451.108,0.84844,0.47479,0.87588,0.97128,0.95782,0.96842,0.74169,1.03473,0.55349,1.01143,0.000720539,0.000720539,0.000720539
73,455.155,0.90696,0.4791,0.85922,0.94933,0.94496,0.96378,0.76686,0.99867,0.58028,1.00415,0.00071504,0.00071504,0.00071504
74,459.846,0.89006,0.47363,0.81814,0.94933,0.94496,0.96378,0.76686,0.99867,0.58028,1.00415,0.00070954,0.00070954,0.00070954
75,464.678,0.95451,0.55111,0.89089,0.94933,0.94496,0.96378,0.76686,0.99867,0.58028,1.00415,0.000704041,0.000704041,0.000704041
76,469.834,0.94655,0.54027,0.86749,0.95622,0.96589,0.96866,0.76293,0.99406,0.546,1.00088,0.000698541,0.000698541,0.000698541
77,474.734,0.86454,0.48095,0.84833,0.95622,0.96589,0.96866,0.76293,0.99406,0.546,1.00088,0.000693042,0.000693042,0.000693042
78,481.604,0.86725,0.49824,0.87231,0.95622,0.96589,0.96866,0.76293,0.99406,0.546,1.00088,0.000687542,0.000687542,0.000687542
79,488.078,0.91553,0.5087,0.87672,0.95618,0.95964,0.9692,0.74856,1.02011,0.55268,1.00929,0.000682043,0.000682043,0.000682043
80,494.918,0.95688,0.53594,0.88077,0.95618,0.95964,0.9692,0.74856,1.02011,0.55268,1.00929,0.000676543,0.000676543,0.000676543
81,498.9,0.96413,0.49816,0.86239,0.96934,0.93591,0.96781,0.7582,1.00361,0.54426,0.98587,0.000671044,0.000671044,0.000671044
82,502.774,0.87705,0.49398,0.83725,0.96934,0.93591,0.96781,0.7582,1.00361,0.54426,0.98587,0.000665545,0.000665545,0.000665545
83,506.652,0.84289,0.47546,0.83392,0.96934,0.93591,0.96781,0.7582,1.00361,0.54426,0.98587,0.000660045,0.000660045,0.000660045
84,512.865,0.99169,0.51165,0.91159,0.96934,0.93501,0.96834,0.75029,0.98499,0.53036,0.98556,0.000654546,0.000654546,0.000654546
85,518.487,0.89718,0.46163,0.85265,0.96934,0.93501,0.96834,0.75029,0.98499,0.53036,0.98556,0.000649046,0.000649046,0.000649046
86,522.475,0.76299,0.44866,0.86307,0.96934,0.93501,0.96834,0.75029,0.98499,0.53036,0.98556,0.000643547,0.000643547,0.000643547
87,529.867,0.9226,0.54526,0.89903,0.94578,0.96739,0.96821,0.77147,0.96884,0.54258,0.97878,0.000638047,0.000638047,0.000638047
88,535.045,0.74677,0.46558,0.85663,0.94578,0.96739,0.96821,0.77147,0.96884,0.54258,0.97878,0.000632548,0.000632548,0.000632548
89,539.823,1.00436,0.63637,0.83765,0.95468,0.96596,0.9691,0.77432,0.96658,0.54951,0.97899,0.000627048,0.000627048,0.000627048
90,544.786,0.792,0.47036,0.8415,0.95468,0.96596,0.9691,0.77432,0.96658,0.54951,0.97899,0.000621549,0.000621549,0.000621549
91,549.722,0.73071,0.47861,0.85829,0.95468,0.96596,0.9691,0.77432,0.96658,0.54951,0.97899,0.000616049,0.000616049,0.000616049
92,554.489,0.75263,0.53912,0.88619,0.95289,0.96088,0.96884,0.76585,1.00473,0.54505,0.98042,0.00061055,0.00061055,0.00061055
93,558.28,0.69768,0.43655,0.82569,0.95289,0.96088,0.96884,0.76585,1.00473,0.54505,0.98042,0.000605051,0.000605051,0.000605051
94,563.355,0.88206,0.47102,0.83462,0.95289,0.96088,0.96884,0.76585,1.00473,0.54505,0.98042,0.000599551,0.000599551,0.000599551
95,567.37,0.761,0.43572,0.83826,0.95937,0.94768,0.96643,0.75593,1.0001,0.57888,0.98424,0.000594052,0.000594052,0.000594052
96,571.441,0.73311,0.4449,0.83343,0.95937,0.94768,0.96643,0.75593,1.0001,0.57888,0.98424,0.000588552,0.000588552,0.000588552
97,575.43,0.79462,0.44737,0.82732,0.97966,0.9471,0.96952,0.75129,0.9581,0.53571,0.95794,0.000583053,0.000583053,0.000583053
98,579.409,0.71529,0.51053,0.88732,0.97966,0.9471,0.96952,0.75129,0.9581,0.53571,0.95794,0.000577553,0.000577553,0.000577553
99,583.39,1.06866,0.571,0.84714,0.97966,0.9471,0.96952,0.75129,0.9581,0.53571,0.95794,0.000572054,0.000572054,0.000572054
100,587.521,0.76062,0.45227,0.87378,0.97393,0.95511,0.97015,0.77054,0.95313,0.54145,0.96411,0.000566554,0.000566554,0.000566554
101,596.979,0.9263,0.47344,0.82667,0.97393,0.95511,0.97015,0.77054,0.95313,0.54145,0.96411,0.000561055,0.000561055,0.000561055
102,603.771,0.76744,0.44789,0.82833,0.97393,0.95511,0.97015,0.77054,0.95313,0.54145,0.96411,0.000555556,0.000555556,0.000555556
103,607.767,0.6791,0.44442,0.85532,0.97139,0.95065,0.96985,0.77574,0.93981,0.51293,0.9594,0.000550056,0.000550056,0.000550056
104,612.451,0.68769,0.40175,0.82413,0.97139,0.95065,0.96985,0.77574,0.93981,0.51293,0.9594,0.000544557,0.000544557,0.000544557
105,619.629,0.76225,0.42118,0.84723,0.96128,0.94672,0.96985,0.74612,0.97661,0.51972,0.96518,0.000539057,0.000539057,0.000539057
106,623.914,0.75313,0.43896,0.87553,0.96128,0.94672,0.96985,0.74612,0.97661,0.51972,0.96518,0.000533558,0.000533558,0.000533558
107,627.865,0.70623,0.42858,0.85466,0.96128,0.94672,0.96985,0.74612,0.97661,0.51972,0.96518,0.000528058,0.000528058,0.000528058
108,634.247,1.11875,0.57939,0.83161,0.97733,0.92848,0.96967,0.74954,0.95724,0.51561,0.95358,0.000522559,0.000522559,0.000522559
109,638.396,0.71677,0.41035,0.84238,0.97733,0.92848,0.96967,0.74954,0.95724,0.51561,0.95358,0.000517059,0.000517059,0.000517059
110,644.491,0.73242,0.42447,0.81614,0.97733,0.92848,0.96967,0.74954,0.95724,0.51561,0.95358,0.00051156,0.00051156,0.00051156
111,651.419,0.79523,0.42306,0.81721,0.97081,0.94726,0.96938,0.76498,0.93223,0.4962,0.9544,0.00050606,0.00050606,0.00050606
112,655.609,0.70977,0.39292,0.82928,0.97081,0.94726,0.96938,0.76498,0.93223,0.4962,0.9544,0.000500561,0.000500561,0.000500561
113,659.762,0.82904,0.46605,0.81746,0.97876,0.95022,0.96952,0.76825,0.94434,0.48732,0.95211,0.000495062,0.000495062,0.000495062
114,663.655,0.91039,0.45885,0.8237,0.97876,0.95022,0.96952,0.76825,0.94434,0.48732,0.95211,0.000489562,0.000489562,0.000489562
115,669.879,0.70138,0.40516,0.82587,0.97876,0.95022,0.96952,0.76825,0.94434,0.48732,0.95211,0.000484063,0.000484063,0.000484063
116,675.244,0.89839,0.46286,0.84485,0.982,0.95011,0.96959,0.77544,0.9251,0.49559,0.94755,0.000478563,0.000478563,0.000478563
117,682.743,0.96642,0.50737,0.81731,0.982,0.95011,0.96959,0.77544,0.9251,0.49559,0.94755,0.000473064,0.000473064,0.000473064
118,687.233,0.62487,0.41351,0.8704,0.982,0.95011,0.96959,0.77544,0.9251,0.49559,0.94755,0.000467564,0.000467564,0.000467564
119,691.15,0.76592,0.47297,0.83672,0.98051,0.95744,0.96952,0.77101,0.92697,0.4744,0.95256,0.000462065,0.000462065,0.000462065
120,697.186,0.79899,0.48628,0.90914,0.98051,0.95744,0.96952,0.77101,0.92697,0.4744,0.95256,0.000456565,0.000456565,0.000456565
121,702.136,0.68309,0.4023,0.83681,0.98241,0.96911,0.96976,0.78157,0.94514,0.491,0.9673,0.000451066,0.000451066,0.000451066
122,708.88,0.83419,0.43597,0.84268,0.98241,0.96911,0.96976,0.78157,0.94514,0.491,0.9673,0.000445567,0.000445567,0.000445567
123,716.281,0.80935,0.42456,0.84352,0.98241,0.96911,0.96976,0.78157,0.94514,0.491,0.9673,0.000440067,0.000440067,0.000440067
124,721.113,0.70164,0.39616,0.87249,0.98189,0.97013,0.96926,0.78131,0.92818,0.47105,0.96542,0.000434568,0.000434568,0.000434568
125,725.028,0.73479,0.39775,0.8308,0.98189,0.97013,0.96926,0.78131,0.92818,0.47105,0.96542,0.000429068,0.000429068,0.000429068
126,728.927,0.67404,0.39366,0.8274,0.98189,0.97013,0.96926,0.78131,0.92818,0.47105,0.96542,0.000423569,0.000423569,0.000423569
127,732.926,0.64937,0.37689,0.81952,0.97957,0.96895,0.96952,0.77749,0.91749,0.48103,0.96622,0.000418069,0.000418069,0.000418069
128,740.789,0.74767,0.4034,0.81167,0.97957,0.96895,0.96952,0.77749,0.91749,0.48103,0.96622,0.00041257,0.00041257,0.00041257
129,744.741,0.60902,0.37913,0.82336,0.97457,0.97143,0.9692,0.75562,0.98094,0.49735,0.97688,0.00040707,0.00040707,0.00040707
130,750.768,0.76522,0.62117,0.90951,0.97457,0.97143,0.9692,0.75562,0.98094,0.49735,0.97688,0.000401571,0.000401571,0.000401571
131,757.344,0.85267,0.41826,0.82183,0.97457,0.97143,0.9692,0.75562,0.98094,0.49735,0.97688,0.000396071,0.000396071,0.000396071
132,761.412,0.74782,0.40679,0.82763,0.97132,0.97071,0.96959,0.76128,0.99305,0.4887,0.97609,0.000390572,0.000390572,0.000390572
133,765.231,0.73188,0.44346,0.8425,0.97132,0.97071,0.96959,0.76128,0.99305,0.4887,0.97609,0.000385073,0.000385073,0.000385073
134,770.549,0.89114,0.47065,0.80859,0.97132,0.97071,0.96959,0.76128,0.99305,0.4887,0.97609,0.000379573,0.000379573,0.000379573
135,774.615,0.69693,0.39049,0.82075,0.9743,0.96645,0.97053,0.75454,0.953,0.46881,0.96534,0.000374074,0.000374074,0.000374074
136,778.442,0.71582,0.38746,0.84575,0.9743,0.96645,0.97053,0.75454,0.953,0.46881,0.96534,0.000368574,0.000368574,0.000368574
137,782.325,0.62148,0.36765,0.84432,0.98428,0.95264,0.9712,0.78525,0.90067,0.45008,0.94963,0.000363075,0.000363075,0.000363075
138,787.236,0.78952,0.40755,0.80458,0.98428,0.95264,0.9712,0.78525,0.90067,0.45008,0.94963,0.000357575,0.000357575,0.000357575
139,791.982,0.71336,0.41165,0.82515,0.98428,0.95264,0.9712,0.78525,0.90067,0.45008,0.94963,0.000352076,0.000352076,0.000352076
140,796.775,0.65234,0.3701,0.82055,0.98915,0.94372,0.97101,0.77508,0.92432,0.48608,0.94633,0.000346576,0.000346576,0.000346576
141,804.055,0.63132,0.37357,0.79918,0.98915,0.94372,0.97101,0.77508,0.92432,0.48608,0.94633,0.000341077,0.000341077,0.000341077
142,808.029,0.55343,0.42788,0.83151,0.98915,0.94372,0.97101,0.77508,0.92432,0.48608,0.94633,0.000335578,0.000335578,0.000335578
143,811.967,0.92592,0.43769,0.80744,0.99021,0.94253,0.97083,0.79236,1.00774,0.51721,0.96457,0.000330078,0.000330078,0.000330078
144,818.701,0.61313,0.38721,0.81674,0.99021,0.94253,0.97083,0.79236,1.00774,0.51721,0.96457,0.000324579,0.000324579,0.000324579
145,823.566,0.64333,0.37925,0.84195,0.98344,0.94498,0.97053,0.78052,1.01575,0.51908,0.96649,0.000319079,0.000319079,0.000319079
146,827.464,0.74326,0.382,0.79936,0.98344,0.94498,0.97053,0.78052,1.01575,0.51908,0.96649,0.00031358,0.00031358,0.00031358
147,831.348,0.85552,0.4852,0.90492,0.98344,0.94498,0.97053,0.78052,1.01575,0.51908,0.96649,0.00030808,0.00030808,0.00030808
148,836.835,0.66022,0.40007,0.82018,0.9785,0.9492,0.97083,0.76514,0.99305,0.51169,0.96914,0.000302581,0.000302581,0.000302581
149,843.856,0.63671,0.3772,0.82491,0.9785,0.9492,0.97083,0.76514,0.99305,0.51169,0.96914,0.000297081,0.000297081,0.000297081
150,847.732,0.59701,0.35931,0.82083,0.9785,0.9492,0.97083,0.76514,0.99305,0.51169,0.96914,0.000291582,0.000291582,0.000291582
151,851.773,0.61542,0.37455,0.80316,0.98139,0.9676,0.97053,0.76831,0.95598,0.46867,0.96807,0.000286083,0.000286083,0.000286083
152,855.523,0.74661,0.52021,0.91348,0.98139,0.9676,0.97053,0.76831,0.95598,0.46867,0.96807,0.000280583,0.000280583,0.000280583
153,859.551,0.582,0.35401,0.84037,0.98126,0.96716,0.97027,0.76815,0.93692,0.44967,0.96619,0.000275084,0.000275084,0.000275084
154,863.505,0.67823,0.37145,0.80491,0.98126,0.96716,0.97027,0.76815,0.93692,0.44967,0.96619,0.000269584,0.000269584,0.000269584
155,867.431,0.62384,0.35095,0.82306,0.98126,0.96716,0.97027,0.76815,0.93692,0.44967,0.96619,0.000264085,0.000264085,0.000264085
156,873.244,0.61503,0.3796,0.82585,0.9821,0.96725,0.96994,0.7726,0.92606,0.43819,0.95923,0.000258585,0.000258585,0.000258585
157,878.493,0.56717,0.34139,0.81596,0.9821,0.96725,0.96994,0.7726,0.92606,0.43819,0.95923,0.000253086,0.000253086,0.000253086
158,882.317,0.67506,0.41148,0.81863,0.9821,0.96725,0.96994,0.7726,0.92606,0.43819,0.95923,0.000247586,0.000247586,0.000247586
159,886.286,0.59811,0.34715,0.82243,0.98301,0.96812,0.96985,0.785,0.93282,0.43226,0.96476,0.000242087,0.000242087,0.000242087
160,891.441,0.69259,0.38861,0.81868,0.98301,0.96812,0.96985,0.785,0.93282,0.43226,0.96476,0.000236587,0.000236587,0.000236587
161,897.595,0.62547,0.3601,0.79471,0.98309,0.96796,0.97004,0.78512,0.92571,0.4305,0.96384,0.000231088,0.000231088,0.000231088
162,902.612,0.72377,0.36427,0.79358,0.98309,0.96796,0.97004,0.78512,0.92571,0.4305,0.96384,0.000225589,0.000225589,0.000225589
163,906.584,0.60079,0.34206,0.8231,0.98309,0.96796,0.97004,0.78512,0.92571,0.4305,0.96384,0.000220089,0.000220089,0.000220089
164,910.417,0.6083,0.37378,0.85127,0.985,0.96731,0.96985,0.76772,0.91965,0.43485,0.96579,0.00021459,0.00021459,0.00021459
165,914.527,0.58981,0.33524,0.80846,0.985,0.96731,0.96985,0.76772,0.91965,0.43485,0.96579,0.00020909,0.00020909,0.00020909
166,920.653,0.84179,0.42069,0.84586,0.985,0.96731,0.96985,0.76772,0.91965,0.43485,0.96579,0.000203591,0.000203591,0.000203591
167,924.947,0.73739,0.3694,0.79919,0.98576,0.96647,0.97004,0.77958,0.89952,0.42307,0.95588,0.000198091,0.000198091,0.000198091
168,928.85,0.62006,0.33331,0.83536,0.98576,0.96647,0.97004,0.77958,0.89952,0.42307,0.95588,0.000192592,0.000192592,0.000192592
169,935.807,0.79358,0.42711,0.81431,0.98672,0.96586,0.97015,0.79117,0.88,0.42429,0.95602,0.000187092,0.000187092,0.000187092
170,940.13,0.63622,0.3692,0.83758,0.98672,0.96586,0.97015,0.79117,0.88,0.42429,0.95602,0.000181593,0.000181593,0.000181593
171,944.74,0.57252,0.32945,0.81096,0.98672,0.96586,0.97015,0.79117,0.88,0.42429,0.95602,0.000176094,0.000176094,0.000176094
172,948.749,0.68627,0.9452,0.98777,0.98693,0.96597,0.97053,0.79589,0.8756,0.41769,0.95641,0.000170594,0.000170594,0.000170594
173,958.759,0.61537,0.339,0.79741,0.98693,0.96597,0.97053,0.79589,0.8756,0.41769,0.95641,0.000165095,0.000165095,0.000165095
174,965.356,0.79029,0.51399,0.82319,0.98693,0.96597,0.97053,0.79589,0.8756,0.41769,0.95641,0.000159595,0.000159595,0.000159595
175,970.19,0.58336,0.35849,0.8458,0.98757,0.96589,0.97039,0.79619,0.89247,0.43091,0.95785,0.000154096,0.000154096,0.000154096
176,975.101,0.56367,0.32439,0.78997,0.98757,0.96589,0.97039,0.79619,0.89247,0.43091,0.95785,0.000148596,0.000148596,0.000148596
177,979.918,0.60391,0.34661,0.81319,0.98832,0.9656,0.97015,0.80352,0.90336,0.43578,0.94729,0.000143097,0.000143097,0.000143097
178,986.075,0.56928,0.33192,0.80346,0.98832,0.9656,0.97015,0.80352,0.90336,0.43578,0.94729,0.000137597,0.000137597,0.000137597
179,990.962,0.56593,0.32858,0.81322,0.98832,0.9656,0.97015,0.80352,0.90336,0.43578,0.94729,0.000132098,0.000132098,0.000132098
180,995.886,0.60432,0.34711,0.83455,0.98938,0.96526,0.97004,0.78041,0.91676,0.43565,0.9492,0.000126598,0.000126598,0.000126598
181,999.705,0.51934,0.33327,0.8449,0.98938,0.96526,0.97004,0.78041,0.91676,0.43565,0.9492,0.000121099,0.000121099,0.000121099
182,1005.04,0.66395,0.36082,0.80551,0.98938,0.96526,0.97004,0.78041,0.91676,0.43565,0.9492,0.0001156,0.0001156,0.0001156
183,1012.48,0.70317,0.37648,0.81516,0.9883,0.96561,0.97015,0.7777,0.92304,0.43923,0.95227,0.0001101,0.0001101,0.0001101
184,1018.94,0.68186,0.34423,0.79256,0.9883,0.96561,0.97015,0.7777,0.92304,0.43923,0.95227,0.000104601,0.000104601,0.000104601
